# metric_direction: lower_is_better
# metric: open tickets among #104-107/#113/#114 (xiechimon/pacman)
# verify: gh issue list --repo xiechimon/pacman --state open --limit 100 --json number --jq '[.[].number | select(.==104 or .==105 or .==106 or .==107 or .==113 or .==114)] | length'
# note: ticket-done = PR merged to main(issue close alone insufficient);合并口径=全自动(CI 绿+验收满足即合)
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-09-23T20:31	1c92cb6c	6	0.0	-	-	baseline	波1三车道发车:#104(TS7)∥#107(pi 0.86)∥#113(plan交接);波2=#105/106/114 等 #104 落地
1	2026-09-23T20:45:58	1c92cb6c	6	0.0	-	-	no-op	心跳1:metric=6 无变化;三车道全 working(impl-104/107/113);无 open PR;波2 未触发
2	2026-09-23T20:53:43	1c92cb6c	5	-1	-	-	keep	PR115(#107 pi 0.86)CI 绿自动合并;剩 impl-104/113 在跑;波2 等 #104
3	2026-09-23T21:16:53	-	5	0.0	-	-	no-op	心跳2:PR116(#113 双修法)已开CI pending挂监视;impl-104 API流假停已唤醒;impl-107车道已收(PR115 merged)留给波2
4	2026-09-23T21:19:01	-	4	-1	-	-	keep	PR116(#113 plan交接)CI绿验收齐自动合并;剩 #104 车道在跑(波2闸门)+波2三张
5	2026-09-23T21:45:54	-	4	0.0	-	-	no-op	心跳3:metric=4;impl-104 唤醒后持续 working(TS7 回归段);107/113 已收票车道空;无 open PR
6	2026-09-23T22:06:02	-	3	-1	-	-	keep	PR117(#104 TS7)CI绿合并收票——波2闸门开,触发 #105/#106/#114 三车道
7	2026-09-23T22:10:05	-	3	0.0	-	-	keep	波2发车:impl-105(路由)∥impl-106(样式)∥impl-114(通知条)全 working;任务书已含 Closes 关键字
8	2026-09-23T22:15:59	-	3	0.0	-	-	no-op	心跳4:metric=3;波2三车道全 working(105/106/114);无 open PR
9	2026-09-23T22:43:08	-	2	-1	-	-	keep	PR118(#105 react-router8)CI绿自动合并(Closes关键字生效,issue已随合收);剩 #106/#114 在跑
10	2026-09-23T22:45:55	-	2	0.0	-	-	no-op	心跳5:metric=2;impl-106 解冲突中(PR119 CONFLICTING 处置中);impl-114 working;无其他动作
11	2026-09-23T22:52:19	-	2	0.0	-	-	no-op	监视器噪声:impl-105 done→idle(已收票车道的 settled 态迁移,无实质);后续此类转换视为 no-op 不再报
12	2026-09-23T22:57:24	-	2	0.0	-	-	no-op	impl-106 done→idle(settled 态迁移,PR119 CI 监视在岗);无动作
13	2026-09-23T23:00:03	-	1	-1	-	-	keep	PR119(#106 Tailwind4)解冲突后CI绿合并;剩 #114 一张在跑
14	2026-09-23T23:16:02	-	1	0.0	-	-	no-op	心跳6:metric=1;仅剩 impl-114 working(通知条);无 open PR
15	2026-09-23T23:43:37	-	0	-1	-	-	keep	FINAL:PR120(#114 通知引导条)合并,metric 6→0 全收;心跳/监视器退役,worktree+车道清理
