# metric_direction: lower_is_better
# metric: open tickets among #127/#128/#129 (xiechimon/pacman)
# verify: gh issue list --repo xiechimon/pacman --state open --limit 100 --json number --jq '[.[].number | select(.==127 or .==128 or .==129)] | length'
# note: ticket-done = PR merged;全自动合并
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-09-24T01:35	dac28d62	3	0.0	-	-	baseline	dogfood 第二批:127(菜单触发bug)∥128(侧栏视觉)∥129(shell一致+净化)三车道齐发
1	2026-09-24T10:00:52	-	3	0.0	-	-	no-op	心跳1:metric=3;PR130(#127)已开CI监视在岗;128/129 working;(运行目录已归位,相对路径笔误修正)
2	2026-09-24T10:01:56	-	2	-1	-	-	keep	PR130(#127 菜单触发)CI绿合并——头像门开了;剩 128/129
3	2026-09-24T10:07:49	-	2	0.0	-	-	no-op	impl-127/128 done→idle(settled 迁移;130 已合、131 CI 监视在岗);无动作
4	2026-09-24T10:11:38	-	1	-1	-	-	keep	PR131(#128 侧栏视觉三件)CI绿合并;剩 #129(shell 净化)在跑
5	2026-09-24T10:14:13	-	1	0.0	-	-	no-op	impl-129 done→idle(settled 迁移,PR132 CI 监视在岗);无动作
6	2026-09-24T10:17:59	-	1	0.0	-	-	no-op	事件:PR132(#129)CI红——agent 自加 e2e「collapsed rail survives route hops」:80 挂(时序竞态);已派回 impl-129 修稳
7	2026-09-24T10:29:01	-	1	0.0	-	-	no-op	心跳:impl-129 修复已推,PR132 新头 CI 重跑中,监视已挂
8	2026-09-24T10:32:48	-	1	0.0	-	-	no-op	impl-129 done→idle(settled 迁移);无动作
9	2026-09-24T10:34:30	-	0	-1	-	-	keep	FINAL:PR132(#129)修复后CI绿合并,metric 3→0 全收;退役+清场
