# metric_direction: lower_is_better
# metric: open tickets among #121/#122/#123 (xiechimon/pacman)
# verify: gh issue list --repo xiechimon/pacman --state open --limit 100 --json number --jq '[.[].number | select(.==121 or .==122 or .==123)] | length'
# note: ticket-done = PR merged to main;合并口径=全自动;#123 gated on #121 合并
iteration	timestamp	commit	metric	delta	guard	guard-metric	status	description
0	2026-09-24T00:05	c4dd3f02	3	0.0	-	-	baseline	dogfood 观感三票:121(侧栏交互)∥122(主题)先跑,123(质感)等 121 合并
1	2026-09-24T00:44:37	-	3	0.0	-	-	no-op	事件:PR124(#122)CI红——m5-web-e2e 主时序+驳回支线 2 例 toHaveText 失败,疑 user-menu DOM 改动波及脊柱断言;已派回 impl-122 修;impl-121 仍在 working
2	2026-09-24T00:49:59	-	3	0.0	-	-	no-op	心跳:metric=3;impl-121/122 双 working(122 在修 e2e 脊柱);无新动作
3	2026-09-24T00:53:16	-	3	0.0	-	-	no-op	impl-122 done→idle(settled 迁移,CI 监视在岗);无动作
4	2026-09-24T00:57:21	-	2	-1	-	-	keep	PR124(#122 主题系统)修复后CI绿合并;剩 #121 在跑+#123 待触发(等121)
5	2026-09-24T01:03:15	-	2	0.0	-	-	no-op	事件:PR125(#121)CI红——parity chip-popover-review-light ssim 0.8500 卡阈值 0.85;已派回 impl-121(判真伪→重定基线或修CSS);#123 仍等 121 合并
6	2026-09-24T01:18:30	-	1	-1	-	-	keep	PR125(#121 侧栏SPA化)修复后CI绿合并;#123 车道补位发车(impl-123)
7	2026-09-24T01:21:42	-	1	0.0	-	-	no-op	心跳:metric=1;impl-123 working(质感打磨,票面大);PR 列表连续两次 TLS 超时(代理抖动),本轮无 PR 可巡,下拍再巡
8	2026-09-24T01:50:29	-	1	0.0	-	-	no-op	心跳:metric=1;PR126(#123)已开,CI 监视挂上;GitHub API 恢复
9	2026-09-24T01:55:57	-	0	-1	-	-	keep	FINAL:PR126(#123 质感打磨)合并,metric 3→0 全收;心跳/监视器退役,车道+worktree 清理
